Time [s],Force Reaction (X) [N],Force Reaction (Y) [N],Force Reaction (Z) [N],Force Reaction (Total) [N],RPM,Feed_mm_per_sec,DOC_mm,sequence_id,Tool_Life_HSS_min
4.85,-1592.6,3467.5,-731.7,3982.1,1000,2,1,0,40.190691013641214
4.9,-1626.8,3535.2,-747.4,4063.9,1000,2,1,0,40.190691013641214
4.95,-1658.4,3597.5,-763.1,4142.7,1000,2,1,0,40.190691013641214
0.0,-813.8,2100.2,-548.0,2318.0,3000,2,1,1,39.317242228563686
0.05,-993.0,2370.6,-432.6,2606.3,3000,2,1,1,39.317242228563686
0.1,-990.2,2406.3,-425.7,2636.7,3000,2,1,1,39.317242228563686
0.15,-900.2,2141.8,-366.3,2352.0,3000,2,1,1,39.317242228563686
0.2,-841.8,2323.1,-350.0,2495.6,3000,2,1,1,39.317242228563686
0.25,-762.5,2361.9,-387.5,2512.0,3000,2,1,1,39.317242228563686
0.3,-811.0,2378.2,-473.0,2556.9,3000,2,1,1,39.317242228563686
0.35,-984.8,2235.6,-470.5,2487.8,3000,2,1,1,39.317242228563686
0.4,-951.7,2484.1,-450.8,2698.1,3000,2,1,1,39.317242228563686
0.45,-951.3,2321.8,-364.0,2535.4,3000,2,1,1,39.317242228563686
0.5,-904.4,2134.0,-356.0,2344.9,3000,2,1,1,39.317242228563686
0.55,-791.7,2366.2,-368.2,2522.2,3000,2,1,1,39.317242228563686
0.6,-748.6,2445.3,-420.4,2591.6,3000,2,1,1,39.317242228563686
0.65,-853.9,2259.6,-503.1,2467.4,3000,2,1,1,39.317242228563686
0.7,-958.4,2222.2,-467.9,2464.9,3000,2,1,1,39.317242228563686
0.75,-1054.1,2406.0,-427.4,2661.3,3000,2,1,1,39.317242228563686
0.8,-927.2,2295.9,-356.8,2501.6,3000,2,1,1,39.317242228563686
0.85,-838.8,2201.2,-325.8,2378.1,3000,2,1,1,39.317242228563686
0.9,-757.6,2345.3,-389.1,2495.2,3000,2,1,1,39.317242228563686
0.95,-844.7,2451.1,-445.0,2630.5,3000,2,1,1,39.317242228563686
1.0,-815.4,2128.0,-493.4,2331.6,3000,2,1,1,39.317242228563686
1.05,-968.8,2299.0,-411.3,2528.5,3000,2,1,1,39.317242228563686
1.1,-1006.6,2420.7,-389.9,2650.5,3000,2,1,1,39.317242228563686
1.15,-836.8,2234.1,-333.6,2408.9,3000,2,1,1,39.317242228563686
1.2,-812.7,2290.1,-369.9,2458.0,3000,2,1,1,39.317242228563686
1.25,-819.3,2441.1,-410.0,2607.4,3000,2,1,1,39.317242228563686
1.3,-826.8,2323.2,-461.8,2508.8,3000,2,1,1,39.317242228563686
1.35,-1005.7,2247.7,-516.0,2515.9,3000,2,1,1,39.317242228563686
1.4,-950.4,2439.9,-439.3,2655.1,3000,2,1,1,39.317242228563686
1.45,-991.1,2365.3,-337.8,2586.7,3000,2,1,1,39.317242228563686
1.5,-908.9,2114.7,-326.4,2324.8,3000,2,1,1,39.317242228563686
1.55,-743.1,2327.4,-374.1,2471.6,3000,2,1,1,39.317242228563686
1.6,-832.9,2352.8,-409.3,2529.2,3000,2,1,1,39.317242228563686
1.65,-822.7,2238.7,-491.5,2435.2,3000,2,1,1,39.317242228563686
1.7,-1029.6,2231.3,-470.2,2502.0,3000,2,1,1,39.317242228563686
1.75,-1023.1,2287.8,-376.3,2534.3,3000,2,1,1,39.317242228563686
1.8,-996.0,2299.7,-305.8,2524.7,3000,2,1,1,39.317242228563686
1.85,-786.5,2148.0,-337.1,2312.2,3000,2,1,1,39.317242228563686
1.9,-699.3,2268.8,-398.8,2407.4,3000,2,1,1,39.317242228563686
1.95,-797.9,2370.5,-454.0,2542.1,3000,2,1,1,39.317242228563686
2.0,-847.0,2109.2,-502.5,2327.8,3000,2,1,1,39.317242228563686
2.05,-981.9,2377.7,-518.1,2624.1,3000,2,1,1,39.317242228563686
2.1,-969.3,2352.2,-346.0,2567.5,3000,2,1,1,39.317242228563686
2.15,-945.6,2160.6,-326.4,2380.9,3000,2,1,1,39.317242228563686
2.2,-877.8,2221.6,-317.8,2409.8,3000,2,1,1,39.317242228563686
2.25,-833.1,2365.1,-445.0,2546.7,3000,2,1,1,39.317242228563686
2.3,-796.0,2278.5,-444.0,2454.1,3000,2,1,1,39.317242228563686
2.35,-828.3,2178.1,-511.6,2385.8,3000,2,1,1,39.317242228563686
2.4,-981.0,2366.9,-441.0,2599.8,3000,2,1,1,39.317242228563686
2.45,-995.3,2258.5,-400.0,2500.3,3000,2,1,1,39.317242228563686
2.5,-805.1,2151.7,-327.5,2320.7,3000,2,1,1,39.317242228563686
2.55,-775.7,2243.4,-365.6,2401.7,3000,2,1,1,39.317242228563686
2.6,-764.4,2372.0,-443.3,2531.2,3000,2,1,1,39.317242228563686
2.65,-833.8,2267.3,-481.4,2463.3,3000,2,1,1,39.317242228563686
2.7,-954.0,2358.6,-480.0,2589.1,3000,2,1,1,39.317242228563686
2.75,-1009.3,2495.9,-382.0,2719.2,3000,2,1,1,39.317242228563686
2.8,-1005.0,2203.3,-353.2,2447.3,3000,2,1,1,39.317242228563686
2.85,-824.0,2270.9,-356.2,2441.9,3000,2,1,1,39.317242228563686
2.9,-772.0,2454.1,-384.0,2601.2,3000,2,1,1,39.317242228563686
2.95,-738.3,2406.1,-443.9,2555.7,3000,2,1,1,39.317242228563686
3.0,-894.3,2096.4,-462.1,2325.5,3000,2,1,1,39.317242228563686
3.05,-1049.4,2372.8,-438.5,2631.3,3000,2,1,1,39.317242228563686
3.1,-995.4,2492.5,-435.2,2718.9,3000,2,1,1,39.317242228563686
3.15,-849.7,2138.6,-315.9,2322.8,3000,2,1,1,39.317242228563686
3.2,-825.9,2322.5,-296.6,2482.8,3000,2,1,1,39.317242228563686
3.25,-797.4,2460.6,-408.8,2618.6,3000,2,1,1,39.317242228563686
3.3,-857.6,2253.7,-496.9,2462.0,3000,2,1,1,39.317242228563686
3.35,-957.2,2260.6,-485.2,2502.4,3000,2,1,1,39.317242228563686
3.4,-1003.2,2320.5,-452.6,2568.3,3000,2,1,1,39.317242228563686
3.45,-1021.0,2301.0,-340.2,2540.2,3000,2,1,1,39.317242228563686
3.5,-821.3,2103.0,-323.0,2280.7,3000,2,1,1,39.317242228563686
3.55,-796.0,2359.9,-318.0,2510.8,3000,2,1,1,39.317242228563686
3.6,-764.1,2378.0,-423.2,2533.3,3000,2,1,1,39.317242228563686
3.65,-787.4,2282.4,-515.5,2468.8,3000,2,1,1,39.317242228563686
3.7,-890.1,2239.4,-464.1,2454.1,3000,2,1,1,39.317242228563686
3.75,-1005.5,2387.6,-383.2,2618.9,3000,2,1,1,39.317242228563686
3.8,-935.9,2350.9,-356.1,2555.3,3000,2,1,1,39.317242228563686
3.85,-814.9,2259.3,-339.4,2425.7,3000,2,1,1,39.317242228563686
3.9,-775.9,2305.6,-451.0,2474.1,3000,2,1,1,39.317242228563686
3.95,-854.5,2387.7,-435.8,2573.1,3000,2,1,1,39.317242228563686
4.0,-854.3,2122.8,-515.9,2345.7,3000,2,1,1,39.317242228563686
4.05,-939.8,2371.2,-524.6,2604.1,3000,2,1,1,39.317242228563686
4.1,-975.2,2401.0,-435.3,2627.8,3000,2,1,1,39.317242228563686
4.15,-952.3,2297.9,-333.5,2509.7,3000,2,1,1,39.317242228563686
4.2,-818.6,2301.4,-317.1,2463.2,3000,2,1,1,39.317242228563686
4.25,-785.7,2286.6,-413.2,2452.8,3000,2,1,1,39.317242228563686
4.3,-822.7,2214.2,-468.0,2408.0,3000,2,1,1,39.317242228563686
4.35,-865.4,2269.3,-526.6,2485.2,3000,2,1,1,39.317242228563686
4.4,-931.7,2368.2,-477.2,2589.2,3000,2,1,1,39.317242228563686
4.45,-948.6,2415.4,-332.9,2616.3,3000,2,1,1,39.317242228563686
4.5,-858.4,2166.9,-308.2,2351.1,3000,2,1,1,39.317242228563686
4.55,-758.5,2304.7,-359.8,2452.8,3000,2,1,1,39.317242228563686
4.6,-768.8,2446.8,-400.2,2595.8,3000,2,1,1,39.317242228563686
4.65,-846.6,2179.1,-522.2,2395.4,3000,2,1,1,39.317242228563686
4.7,-975.2,2174.1,-494.1,2433.5,3000,2,1,1,39.317242228563686
4.75,-999.4,2516.4,-380.5,2734.2,3000,2,1,1,39.317242228563686
4.8,-860.5,2182.5,-285.5,2363.3,3000,2,1,1,39.317242228563686
4.85,-809.7,2263.8,-326.7,2426.3,3000,2,1,1,39.317242228563686
4.9,-781.7,2438.4,-334.2,2582.4,3000,2,1,1,39.317242228563686
4.95,-803.5,2357.3,-480.0,2536.3,3000,2,1,1,39.317242228563686
0.0,-455.6,1322.1,-302.2,1430.7,5000,2,1,2,38.91760207325812
0.05,-594.0,1486.8,-235.7,1618.3,5000,2,1,2,38.91760207325812
0.1,-517.0,1207.0,-247.0,1336.1,5000,2,1,2,38.91760207325812
0.15,-494.1,1453.9,-283.4,1561.5,5000,2,1,2,38.91760207325812
0.2,-503.9,1319.5,-312.2,1446.6,5000,2,1,2,38.91760207325812
0.25,-594.9,1485.2,-306.3,1629.0,5000,2,1,2,38.91760207325812
0.3,-518.4,1279.8,-231.8,1400.2,5000,2,1,2,38.91760207325812
0.35,-412.6,1565.6,-304.4,1647.4,5000,2,1,2,38.91760207325812
0.4,-492.1,1382.9,-370.0,1513.8,5000,2,1,2,38.91760207325812
0.45,-615.4,1481.9,-300.7,1632.5,5000,2,1,2,38.91760207325812
0.5,-528.0,1370.6,-206.6,1483.2,5000,2,1,2,38.91760207325812
0.55,-434.3,1392.3,-245.7,1479.0,5000,2,1,2,38.91760207325812
0.6,-484.7,1188.3,-303.9,1318.8,5000,2,1,2,38.91760207325812
0.65,-570.7,1523.2,-274.5,1649.6,5000,2,1,2,38.91760207325812
0.7,-539.5,1270.1,-255.7,1403.4,5000,2,1,2,38.91760207325812
0.75,-452.0,1510.1,-276.0,1600.2,5000,2,1,2,38.91760207325812
0.8,-483.4,1305.7,-346.6,1434.8,5000,2,1,2,38.91760207325812
0.85,-542.8,1479.5,-266.7,1598.3,5000,2,1,2,38.91760207325812
0.9,-504.5,1313.3,-213.6,1423.0,5000,2,1,2,38.91760207325812
0.95,-440.0,1490.4,-315.9,1585.8,5000,2,1,2,38.91760207325812
1.0,-473.6,1211.9,-329.4,1342.2,5000,2,1,2,38.91760207325812
1.05,-594.6,1493.6,-322.1,1639.5,5000,2,1,2,38.91760207325812
1.1,-483.7,1290.6,-226.4,1396.7,5000,2,1,2,38.91760207325812
1.15,-378.7,1567.5,-267.6,1634.6,5000,2,1,2,38.91760207325812
1.2,-486.4,1230.4,-330.8,1363.8,5000,2,1,2,38.91760207325812
1.25,-584.1,1484.3,-238.8,1612.9,5000,2,1,2,38.91760207325812
1.3,-483.6,1262.6,-264.7,1377.7,5000,2,1,2,38.91760207325812
1.35,-438.9,1477.5,-266.9,1564.2,5000,2,1,2,38.91760207325812
1.4,-508.6,1358.1,-323.1,1485.7,5000,2,1,2,38.91760207325812
1.45,-601.9,1500.9,-282.2,1641.5,5000,2,1,2,38.91760207325812
1.5,-509.3,1260.8,-196.0,1373.8,5000,2,1,2,38.91760207325812
1.55,-434.6,1490.6,-300.0,1581.4,5000,2,1,2,38.91760207325812
1.6,-508.8,1317.2,-323.8,1448.7,5000,2,1,2,38.91760207325812
1.65,-596.5,1438.0,-262.4,1578.8,5000,2,1,2,38.91760207325812
1.7,-501.2,1270.0,-233.1,1385.1,5000,2,1,2,38.91760207325812
1.75,-419.5,1554.2,-290.0,1635.7,5000,2,1,2,38.91760207325812
1.8,-495.5,1321.3,-343.2,1452.3,5000,2,1,2,38.91760207325812
1.85,-547.6,1481.5,-289.8,1605.8,5000,2,1,2,38.91760207325812
1.9,-546.2,1260.2,-186.7,1386.1,5000,2,1,2,38.91760207325812
1.95,-385.7,1476.5,-270.7,1549.9,5000,2,1,2,38.91760207325812
2.0,-510.2,1211.1,-308.7,1349.9,5000,2,1,2,38.91760207325812
2.05,-619.9,1526.7,-247.8,1666.3,5000,2,1,2,38.91760207325812
2.1,-508.4,1297.7,-209.2,1409.4,5000,2,1,2,38.91760207325812
2.15,-418.7,1489.9,-279.2,1572.6,5000,2,1,2,38.91760207325812
2.2,-474.3,1222.7,-360.5,1360.1,5000,2,1,2,38.91760207325812
2.25,-615.3,1450.8,-293.2,1602.9,5000,2,1,2,38.91760207325812
2.3,-497.7,1305.6,-229.0,1415.9,5000,2,1,2,38.91760207325812
2.35,-418.0,1495.3,-266.8,1575.4,5000,2,1,2,38.91760207325812
2.4,-549.9,1259.3,-359.1,1420.3,5000,2,1,2,38.91760207325812
2.45,-618.7,1506.7,-272.9,1651.5,5000,2,1,2,38.91760207325812
2.5,-487.2,1325.1,-206.2,1426.8,5000,2,1,2,38.91760207325812
2.55,-402.1,1452.6,-286.1,1534.2,5000,2,1,2,38.91760207325812
2.6,-473.8,1257.8,-343.1,1387.1,5000,2,1,2,38.91760207325812
2.65,-571.4,1443.7,-241.6,1571.4,5000,2,1,2,38.91760207325812
2.7,-492.8,1229.2,-173.7,1335.6,5000,2,1,2,38.91760207325812
2.75,-417.9,1520.0,-292.6,1603.4,5000,2,1,2,38.91760207325812
2.8,-470.5,1305.4,-343.3,1429.5,5000,2,1,2,38.91760207325812
2.85,-609.3,1499.1,-283.3,1642.7,5000,2,1,2,38.91760207325812
2.9,-507.6,1228.4,-216.9,1346.7,5000,2,1,2,38.91760207325812
2.95,-410.7,1435.7,-239.6,1512.3,5000,2,1,2,38.91760207325812
3.0,-547.0,1279.0,-323.1,1428.1,5000,2,1,2,38.91760207325812
3.05,-550.1,1464.6,-245.9,1583.7,5000,2,1,2,38.91760207325812
3.1,-525.5,1287.6,-169.9,1401.0,5000,2,1,2,38.91760207325812
3.15,-423.2,1451.5,-284.8,1538.6,5000,2,1,2,38.91760207325812
3.2,-444.4,1312.0,-343.1,1427.1,5000,2,1,2,38.91760207325812
3.25,-608.9,1565.9,-273.8,1702.3,5000,2,1,2,38.91760207325812
3.3,-518.2,1352.9,-187.1,1460.8,5000,2,1,2,38.91760207325812
3.35,-378.3,1557.3,-276.8,1626.3,5000,2,1,2,38.91760207325812
3.4,-533.4,1285.3,-324.1,1428.8,5000,2,1,2,38.91760207325812
3.45,-598.0,1525.7,-248.0,1657.4,5000,2,1,2,38.91760207325812
3.5,-489.5,1264.8,-184.0,1368.7,5000,2,1,2,38.91760207325812
3.55,-408.7,1525.7,-264.5,1601.5,5000,2,1,2,38.91760207325812
3.6,-487.4,1264.8,-356.9,1401.6,5000,2,1,2,38.91760207325812
3.65,-575.9,1461.2,-310.3,1600.9,5000,2,1,2,38.91760207325812
3.7,-466.7,1252.6,-184.9,1349.4,5000,2,1,2,38.91760207325812
3.75,-393.3,1515.6,-264.3,1587.9,5000,2,1,2,38.91760207325812
3.8,-487.3,1294.7,-360.3,1429.5,5000,2,1,2,38.91760207325812
3.85,-604.9,1492.1,-286.3,1635.3,5000,2,1,2,38.91760207325812
3.9,-523.3,1229.9,-220.9,1354.7,5000,2,1,2,38.91760207325812
3.95,-473.7,1490.0,-313.1,1594.6,5000,2,1,2,38.91760207325812
4.0,-484.8,1216.1,-333.1,1350.9,5000,2,1,2,38.91760207325812
4.05,-636.2,1551.2,-292.7,1701.9,5000,2,1,2,38.91760207325812
4.1,-479.5,1276.1,-217.4,1380.4,5000,2,1,2,38.91760207325812
4.15,-370.5,1492.5,-257.8,1559.2,5000,2,1,2,38.91760207325812
4.2,-532.8,1277.3,-341.0,1425.3,5000,2,1,2,38.91760207325812
4.25,-604.9,1411.0,-262.3,1557.5,5000,2,1,2,38.91760207325812
4.3,-516.8,1219.3,-201.0,1339.4,5000,2,1,2,38.91760207325812
4.35,-398.4,1482.3,-274.0,1559.1,5000,2,1,2,38.91760207325812
4.4,-527.4,1350.4,-337.7,1488.6,5000,2,1,2,38.91760207325812
4.45,-589.7,1432.5,-232.1,1566.4,5000,2,1,2,38.91760207325812
4.5,-518.0,1249.8,-214.5,1369.8,5000,2,1,2,38.91760207325812
4.55,-428.2,1481.4,-237.5,1560.2,5000,2,1,2,38.91760207325812
4.6,-468.2,1204.8,-359.8,1341.7,5000,2,1,2,38.91760207325812
4.65,-612.6,1405.8,-258.0,1555.1,5000,2,1,2,38.91760207325812
4.7,-501.7,1263.2,-206.7,1374.8,5000,2,1,2,38.91760207325812
4.75,-413.8,1481.5,-291.4,1565.5,5000,2,1,2,38.91760207325812
4.8,-480.1,1264.2,-399.4,1410.0,5000,2,1,2,38.91760207325812
4.85,-620.8,1553.8,-238.2,1690.1,5000,2,1,2,38.91760207325812
4.9,-473.0,1274.6,-237.1,1380.0,5000,2,1,2,38.91760207325812
4.95,-409.3,1500.0,-296.8,1583.0,5000,2,1,2,38.91760207325812
0.0,-2015.4,3749.4,-1059.4,4386.6,1000,2,3,3,31.2167426908534
0.05,-2072.7,3678.7,-1238.4,4400.3,1000,2,3,3,31.2167426908534
0.1,-2043.4,3785.9,-1198.4,4465.9,1000,2,3,3,31.2167426908534
0.15,-2235.7,4024.7,-1227.4,4764.8,1000,2,3,3,31.2167426908534
0.2,-2126.0,4109.4,-1067.0,4748.2,1000,2,3,3,31.2167426908534
0.25,-2299.2,4121.5,-1040.1,4832.7,1000,2,3,3,31.2167426908534
0.3,-2189.8,3924.9,-1015.5,4607.8,1000,2,3,3,31.2167426908534
0.35,-2167.2,4052.8,-1029.7,4709.8,1000,2,3,3,31.2167426908534
0.4,-2037.7,3738.1,-816.9,4335.1,1000,2,3,3,31.2167426908534
0.45,-2066.1,3659.5,-884.0,4294.5,1000,2,3,3,31.2167426908534
0.5,-2053.1,3526.1,-853.1,4168.5,1000,2,3,3,31.2167426908534
0.55,-1866.5,3802.7,-985.4,4349.2,1000,2,3,3,31.2167426908534
0.6,-1802.5,3836.7,-910.6,4335.7,1000,2,3,3,31.2167426908534
0.65,-1918.7,3856.8,-935.0,4408.0,1000,2,3,3,31.2167426908534
0.7,-1801.5,4027.0,-907.3,4503.9,1000,2,3,3,31.2167426908534
0.75,-1869.5,3925.4,-1020.0,4465.9,1000,2,3,3,31.2167426908534
0.8,-1837.0,3965.3,-1039.7,4492.2,1000,2,3,3,31.2167426908534
0.85,-1855.2,3930.3,-1233.3,4517.8,1000,2,3,3,31.2167426908534
0.9,-1996.1,3811.9,-1189.8,4464.4,1000,2,3,3,31.2167426908534
0.95,-1954.4,3649.3,-1194.6,4308.6,1000,2,3,3,31.2167426908534
1.0,-2083.2,3497.2,-1212.7,4247.4,1000,2,3,3,31.2167426908534
1.05,-2131.6,3891.3,-1216.1,4600.5,1000,2,3,3,31.2167426908534
1.1,-2144.0,3639.5,-1195.9,4390.1,1000,2,3,3,31.2167426908534
1.15,-2284.5,4000.5,-1069.1,4729.2,1000,2,3,3,31.2167426908534
1.2,-2275.0,3930.8,-1125.5,4679.1,1000,2,3,3,31.2167426908534
1.25,-2168.9,3961.7,-1011.3,4628.3,1000,2,3,3,31.2167426908534
1.3,-2132.8,3818.4,-966.6,4479.2,1000,2,3,3,31.2167426908534
1.35,-2094.3,3962.7,-984.2,4588.9,1000,2,3,3,31.2167426908534
1.4,-2144.4,3813.4,-921.7,4471.0,1000,2,3,3,31.2167426908534
1.45,-2018.5,3886.8,-1044.8,4502.5,1000,2,3,3,31.2167426908534
1.5,-1906.8,3575.6,-935.5,4158.8,1000,2,3,3,31.2167426908534
1.55,-1879.6,3639.7,-845.2,4182.7,1000,2,3,3,31.2167426908534
